,Case No.,Claimant(s),Respondent(s),Status,Link
401,ARB/12/25,Marco Gavazzi and Stefano Gavazzi ,Romania,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/25
402,ARB/12/24,Transban Investments Corp.,Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/24
403,ARB/12/23,Tenaris S.A. and Talta - Trading e Marketing Sociedade Unipessoal Lda.,Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/23
404,ARB/12/22,Venoklim Holding B.V.,Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/22
405,ARB/12/21,"Fábrica de Vidrios Los Andes, C.A. and Owens-Illinois de Venezuela, C.A.",Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/21
406,ARB/12/20,Blue Bank International & Trust (Barbados) Ltd.,Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/20
407,ARB/12/19,Ternium S.A. and Consorcio Siderurgia Amazonia S.L.,Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/19
408,ARB(AF)/12/5,Rusoro Mining Ltd.,Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/12/5
409,ARB/12/18,Valle Verde Sociedad Financiera S.L. ,Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/18
410,ARB/12/17,"Inversión y Gestión de Bienes, IGB, S.L. and IGB18 Las Rozas, S.L.",Kingdom of Spain ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/17
411,ARB/12/16,"Novera AD, Novera Properties B.V. and Novera Properties N.V.",Republic of Bulgaria,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/16
412,CONC(AF)/12/2,Republic of Equatorial Guinea,CMS Energy Corporation and others ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=CONC(AF)/12/2
413,ARB/12/15,Veolia Propreté,Arab Republic of Egypt,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/15
414,ARB/12/14 and 12/40,"Churchill Mining Plc and Planet Mining Pty Ltd, formerly ARB/12/14",Republic of Indonesia,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/14 and 12/40
415,ARB(AF)/12/4,Telefónica S.A. ,United Mexican States ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/12/4
416,ARB/12/13,Saint-Gobain Performance Plastics Europe,Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/13
417,ARB/12/12,Vattenfall AB and others,Federal Republic of Germany ,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/12
418,ARB/12/11,Ampal-American Israel Corporation and others,Arab Republic of Egypt,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/11
